dir,nb
coleslaw_salad,342
cream_of_mushroom_spaghetti,324
monjayaki,321
salad_beans,313
teriyaki_chicken,304
seaweed_salad,288
salad_chicken,282
yakitori_with_salt,280
roll_cabbage,262
french_fries,261
cornflakes,259
ingredients_vegetable_soup,258
somen,254
natto,253
soup_vermicelli,253
consomme_soup,253
motsunabe,247
omelette,247
melonpan,245
udon_over,238
sukiyaki,235
kamaboko,234
firm_tofu,233
shumai,229
yogurt,227
seaweed_soup,224
ice_cream,223
stir-fried_bean_sprouts,218
steamed_chicken_breast,217
fried_shrimp,217
tempura_assorted,216
tanukisoba,214
coffee_jelly,212
spinach_shiraae,211
ochazuke,209
milk_france,207
cup_noodles,207
mochi,201
fruit_jelly,200
meat_noodles,200
grilled_dumplings,200
boiled_radish,198
fried_vegetables,198
pork_soy_sauce_ramen,197
fillet_steak,195
kitsune_udon,195
fried_meat_leek,195
steam_vegetables,194
mixed_nuts,193
vegetable_gratin,193
raw_ham_and_prosciutto,192
cup_chow_mein,191
thickness_baked_eggs,191
gomoku_yakisoba,190
raw_egg,190
yakitori_with_sauce,190
salmon_cream_pasta,190
soymilk,188
chicken_nanban,188
cheese_katsu,187
miso_ramen,187
fried_rebanira,185
radish,184
meat_and_potatoes,183
sesame_of_japanese_mustard_spinach,182
roast_beef,182
grilled_salmon,182
fried_pig_kimchi,180
vegetable_pot,177
source_chow_mein,177
stir-fried_bean_sprouts_of_pork,175
meat_sauce_spaghetti,175
pig_shabu,173
egg_salad,171
egg_soup,170
namul,170
almond,169
chicken_steamed,169
corn_potage,166
stir-fried_udon,165
hot_spring_egg,165
grilled_potatoes,164
meat_balls,162
cabbage_shredded,162
kakiage,161
boiled_chikuzen,161
potatoes_butter,161
cabbage_soup,161
acai_bowl,158
baked_pumpkin,158
black_tea,157
candied_sweet_potato,157
macaroni_salad,156
chicken_mince_cutlet,155
shabu_steamed_pork_and_vegetables,155
mix_pizza,155
granola,154
raw_ham_and_salad,154
pizza__seafood,154
chicken_salad,154
soy_source_ramen,154
caramel_candy,152
salt_ramen,151
horse_mackerel_of_dried_fish,147
youlin_tori,146
miso_katsu,146
ham,145
popcorn,145
pho,142
boiled_pork,141
cream_stew_with_chicken,141
scrambled_eggs,140
opening_of_hockey,140
unaju,140
cookie,140
roast_chicken,139
tonkotsu_ramen,139
mabo_tofu,138
tatsuta_fried_chicken,138
mapo_eggplant,135
vegetable_stew,134
oyakodon,134
carbonara,134
yakiniku__karubi,131
miso_soup,131
cheeseomelette,131
peanut_bread,130
grilled_mackerel,130
okonomiyaki,130
steamed_pumpkin,130
white_chocolate,130
hand-rolled_sushi,129
tagine_pot,129
strawberry,129
pizza__margherita,129
chige_nabe,128
brown_rice_flakes,128
candy,127
fried_rice,127
chicken_nugget,126
kakesoba,126
loco_moco,125
kimchi_hot_pot,125
beef_croquette,124
savory_egg_custard,124
yosenabe,123
spinach_sesame,123
beef_curry,122
radish_salad,122
sliced_cheese,121
mabo_vermicelli,121
pork_cutlet_on_rice,120
caffe_latte,120
tomato_sauce_spaghetti,119
sundubu_soup__jun_tofu_pot,118
beef_bowl,118
weight-gaining_stew_for_sumo,117
green_tea,117
rice,117
mixed_vegetable_salad,116
topped_udon,116
boiled_pumpkin,116
vegetable_soup,115
coffee_milk,115
fried_chicken,115
bowl_of_rice_and_fried_fish,114
penne_arrabiata,114
pilaf_of_clams,113
fried_meat_vegetables__pork,113
hash_browns,113
gum,111
pudding,111
pork_curry,110
cod_roe_spaghetti,110
miso_soup_with_pork_and_vegetables,109
roasted_pork,109
lasagna,108
toast,108
eyeball_grilled,108
doria,107
caesar_salad,106
kakiagesoba,105
twice_cooked_pork,104
dolphin_don,104
omelette_rice,104
kinuasarada,104
teriyakibaga,103
seafood_don,102
shrimp_gratin,102
shrimp_tomato_cream_spaghetti,102
kimchi,102
pancake,101
crisps,100
tomato_curry,100
deep-fried_horse_mackerel,100
paella,99
black_coffee,99
green_beans_sesame,99
grilled_yellowtail,99
warm_vegetable_salad,98
ham_and_vegetables_sand,98
potato_gratin,97
potato_salad,97
unadon,96
hodgepodge,95
mixed_rice,95
japchae,95
dice_steak,95
beans_and_vegetable_salad,95
of_chicken_meatball__sauce,95
tomato,95
chicken_curry,94
baked_pudding,94
croissant,94
butter_chicken_curry__lou_only,94
green_soybeans,94
chocolate,94
bulgogi,93
sirloin_steak,93
frankfurt_sausage,93
spring_roll,93
burdock_salad,92
almond_junket,92
cafe_au_lait,91
milk,91
chukadon,91
goya_chample,90
fried_eggs,90
udonsuki,90
cheese_salad,90
raisins,89
tuna_salad,89
tomato_and_lettuce_salad,88
spicy_chicken,88
vegetable_salad,88
chicken_cutlet,88
salted_plum,87
shaved_ice,87
silken_tofu,86
pumpkin_salad,86
avocado_and_raw_vegetable_salad,85
boiled_egg,85
fried_chili_sauce_of_shrimp,84
raisin_roll,84
tandoori_chicken,83
deep_fried_oysters,83
salt_fried_noodles,83
minced_fish_pot,83
seafood_sushi,83
castella,82
ginger_grilled_pork,82
banana,81
steamed_bun,81
pizza_toast,81
mix_sand,81
walnut,80
shrimp_avocado_salad,80
egg_porridge,79
shrimp_tendon,79
pork_shabu-shabu,79
mandarin_orange,78
cream_bread,78
mizutaki_of_chicken,77
walnut_bread,75
petit_tomatoes,74
out_maki_tamago,74
cold_tofu,73
dorayaki,72
rice_balls__salmon,71
eight_dishes,70
vienna_sausage,68
apple,67
gummy,67
hamburger_meat,66
yellowtail_teriyaki,66
chinese_steamed_buns,65
butter_roll,64
hamburger,64
tororo_buckwheat,64
anpan,63
pork_saute,62
croquette,61
bacon_saute,60
pork_cutlet,60
forced_udon,58
kiwi,56
ground_meat_cutlet,54
gabao__rice_stir-fried_chicken_and_basil,54
cream_croquette,54
rice_balls__plum,53
flour_cake,43
sausage_saute,42
zarusoba,29
raw_spring_rolls,24

[294 rows x 2 columns]
nb of categories =  294
nb of total images =  39927